DATASET,DIM_ORG,BHR_ORG,FHR_ORG,E2D_ORG,E3D_ORG,DIM_RED,BHR_ORG,FHR_ORG,E2D_ORG,E3D_ORG,TIME_ORG,TIME_RED
LIB1,576,,99.84,3.035,3.043,486,,99.84,3.029,3.037,0.531413,0.448047
LIB2,576,,97.724,4.031,4.197,339,,99.647,3.581,3.602,0.608025,0.358309
MAN1,14300,,100,2.877,2.877,13736,,100,2.821,2.821,0.375571,0.343305
MAN2,1300,,100,2.467,2.467,1237,,100,2.44,2.44,0.033907,0.031437
TUT1,1476,,90,8.623,9.601,995,,91.224,7.788,8.382,0.401397,0.308761
TUT2,584,,72.727,11.218,12.893,388,,75.568,10.817,12.107,0.073072,0.048249
TUT3,697,,91.622,8.926,9.594,685,,91.875,8.835,9.386,5.034587,4.954046
TUT4,3951,,95.265,6.152,6.406,3937,,95.265,6.141,6.397,5.423704,5.379957
TUT5,446,,88.391,6.387,6.924,356,,88.493,6.189,6.62,0.392669,0.317857
TUT6,3116,,99.986,1.959,1.959,3107,,99.986,1.94,1.94,27.61167,27.52379
TUT7,2787,,99.185,2.11,2.351,2777,,99.231,2.212,2.445,27.42893,27.42893
UJI1,19861,99.19,87.759,7.718,10.829,17421,100,90.369,7.721,8.962,21.67389,19.00005
UJI2,20972,100,85.345,7.742,8.052,18301,100,87.256,7.57,7.732,108.4412,95.04433
UTS1,9108,,92.784,7.769,8.757,8410,,93.557,7.782,8.42,4.076332,3.620515
